file,objects,decoded_chars,triggers,unique_ids,unique_groups,grouped_objects,high_detail,hidden,x_min,x_max,y_min,y_max
Abducted_FAMOUS_ANIMATIONS.gmd,78106,8948071,7836,290,1849,70666,40483,0,-1335.0,32041.0,7.0,9240.0
BACKFIRE BLACKFIRE_FAMOUS_ANIMATIONS,195545,24570066,10322,773,4234,176804,59753,6223,-2291.92,176745.0,-2925.0,13247.9
GD GANGSTER RAP_FAMOUS_ANIMATIONS.gmd,148992,19788274,7755,537,1849,130616,35043,2234,-1215.0,65698.7,-405.0,5365.0
MOAI_FAMOUS_ANIMATIONS.gmd,117272,11686107,9547,322,3120,89421,23411,2702,-1995.0,37523.9,-3090.0,23745.0
Skeletal Shenanigans_FAMOUS_ANIMATIONS.gmd,80495,9896661,8844,362,1821,66617,6716,2170,-10000.0,47265.0,-10090.0,7513.41
Slaughterhouse_FAMOUS_ANIMATIONS .gmd,147241,13287001,2303,348,302,108861,82731,0,-29.0,27766.2,-160.84,2354.77
Trouble_HARD,12093,1278435,555,98,156,10382,2,403,-2208.75,25185.0,15.0,16215.0
impossible timing_HARDER,127,6554,4,16,1,16,0,0,-75.0,1125.0,4.0,345.0
wallbreaker_HARDER,22555,1505862,1041,91,245,7240,157,2607,-514.628,38055.0,165.0,8985.0
wave PROCESSING_EASY,282,12877,1,14,0,0,0,0,127.5,907.5,15.5,295.5
world is blue_NORMAL,51015,6014952,583,158,182,41755,15924,458,-495.0,28365.0,-795.0,12435.0
