file,bytes,valid,wrapper_exact,encoding,objects,declared_k48,k48_status,header_chars,trailing_semicolon,same_value_splice_byte_exact,payload_semantic_roundtrip,has_online_level_id,error_count,warning_count
Abducted_FAMOUS_ANIMATIONS.gmd,1548855,True,True,urlsafe-base64+gzip,78106,65535,known-cap,21007,True,True,True,True,0,1
BACKFIRE BLACKFIRE_FAMOUS_ANIMATIONS,3524668,True,True,urlsafe-base64+gzip,195545,,absent,33939,True,True,True,True,0,0
GD GANGSTER RAP_FAMOUS_ANIMATIONS.gmd,2711111,True,True,urlsafe-base64+gzip,148992,65535,known-cap,4747,True,True,True,True,0,1
MOAI_FAMOUS_ANIMATIONS.gmd,1573414,True,True,urlsafe-base64+gzip,117272,,absent,12742,True,True,True,True,0,0
Skeletal Shenanigans_FAMOUS_ANIMATIONS.gmd,1318139,True,True,urlsafe-base64+gzip,80495,65535,known-cap,25553,True,True,True,True,0,1
Slaughterhouse_FAMOUS_ANIMATIONS .gmd,1679819,True,True,urlsafe-base64+gzip,147241,65535,known-cap,5863,True,True,True,True,0,1
Trouble_HARD,125980,True,True,urlsafe-base64+gzip,12093,12093,exact,2170,True,True,True,True,0,0
impossible timing_HARDER,2398,True,True,urlsafe-base64+gzip,127,127,exact,1569,True,True,True,True,0,0
wallbreaker_HARDER,186680,True,True,urlsafe-base64+gzip,22555,22554,mismatch,1922,True,True,True,True,0,2
wave PROCESSING_EASY,2648,True,True,urlsafe-base64+gzip,282,,absent,978,True,True,True,True,0,0
world is blue_NORMAL,606469,True,True,urlsafe-base64+gzip,51015,51015,exact,11176,True,True,True,True,0,0
OneBlockTest.gmd,1289,True,True,urlsafe-base64+gzip,1,1,exact,934,True,True,True,False,0,0
rocket power.gmd,15982,True,True,urlsafe-base64+gzip,1143,1143,exact,1536,True,True,True,True,0,0
